Query=YOR250C	 Hit=lcl|MAPG_12038T0	" Description=pep:novel supercontig:Mag_poae_ATCC_64411_V1:supercont1.131:15:784:1 gene:MAPG_12038 transcript:MAPG_12038T0 description:""Clp1""-species:Magnaporthe_poae"	 E_value=2e-08
			
Query=MGG_05325T0	 Hit=lcl|EFP92997	" Description=pep:novel supercontig:ASM14992v1:supercont2.117:91807:94111:-1 gene:PGTG_19010 transcript:EFP92997 description:""glucose repression regulatory protein TUP1""-species:Puccinia_graminis"	 E_value=1e-07
			
Query=MGG_05325T0	 Hit=lcl|EFP92997	" Description=pep:novel supercontig:ASM14992v1:supercont2.117:91807:94111:-1 gene:PGTG_19010 transcript:EFP92997 description:""glucose repression regulatory protein TUP1""-species:Puccinia_graminis"	 E_value=4e-07
			
Query=MGG_05325T0	 Hit=lcl|CBY00345	" Description=pep:novel supercontig:ASM23037v1:FP929138:742423:745153:-1 gene:LEMA_P014750.1 transcript:CBY00345 description:""Putative uncharacterized protein ""-species:Leptosphaeria_maculans"	 E_value=1e-07
			
Query=MGG_05325T0	 Hit=lcl|EPX74181	" Description=pep:novel supercontig:GCA_000150505.2:supercont6.1:1887806:1890722:-1 gene:SOCG_03393 transcript:EPX74181 description:""U3 snoRNA associted protein Dip2""-species:Schizosaccharomyces_octosporus"	 E_value=1e-07
			
Query=MGG_05325T0	 Hit=lcl|GGTG_10216T0	" Description=pep:known supercontig:Gae_graminis_V2:supercont1.5:3764911:3767751:-1 gene:GGTG_10216 transcript:GGTG_10216T0 description:""pre-mRNA splicing factor""-species:Gaeumannomyces_graminis"	 E_value=1e-07
			
Query=MGG_05325T0	 Hit=lcl|CADATEAP00004695	" Description=pep:known supercontig:CADRE:1.15:282194:286463:1 gene:CADATEAG00004695 transcript:CADATEAT00004695 description:""Putative uncharacterized protein""-species:Aspergillus_terreus"	 E_value=1e-07
			
Query=MGG_05325T0	 Hit=lcl|CADAFUBP00002579	" Description=pep:known scaffold:CADRE:DS499595:2692226:2695135:1 gene:CADAFUBG00002633 transcript:CADAFUBT00002633 description:""COPI vesicle coat beta' subunit, putative""-species:Aspergillus_fumigatus"	 E_value=1e-07
			
Query=MGG_05325T0	 Hit=lcl|MGG_08708T0	" Description=pep:known chromosome:MG8:6:380812:383351:-1 gene:MGG_08708 transcript:MGG_08708T0 description:""WD repeat-containing protein""-species:Magnaporthe_oryzae"	 E_value=1e-07
			
Query=MGG_05325T0	 Hit=lcl|MGG_08708T0	" Description=pep:known chromosome:MG8:6:380812:383351:-1 gene:MGG_08708 transcript:MGG_08708T0 description:""WD repeat-containing protein""-species:Magnaporthe_oryzae"	 E_value=1e-05
			
Query=MGG_05325T0	 Hit=lcl|EPY49226	" Description=pep:novel supercontig:GCA_000004155.2:supercont4.9:121360:122773:-1 gene:SPOG_04420 transcript:EPY49226 description:""heterotrimeric G protein beta subunit Git5""-species:Schizosaccharomyces_cryophilus"	 E_value=1e-07
			
Query=MGG_05325T0	 Hit=lcl|CADNFIAP00003461	" Description=pep:known contig:CADRE:8927:480291:481919:-1 gene:CADNFIAG00003550 transcript:CADNFIAT00003550 description:""Small nucleolar ribonucleoprotein complex subunit Utp15, putative""-species:Neosartorya_fischeri"	 E_value=1e-07
			
Query=MGG_05325T0	 Hit=lcl|YCR057C	" Description=pep:known chromosome:SacCer_Apr2011:III:220457:223228:-1 gene:YCR057C transcript:YCR057C description:""Conserved 90S pre-ribosomal component essential for proper endonucleolytic cleavage of the 35 S rRNA precursor at A0, A1, and A2 sites\x3b contains eight WD-repeats\x3b PWP2 deletion leads to defects in cell cycle and bud morphogenesis""-species:Saccharomyces_cerevisiae"	 E_value=1e-07
			
Query=MGG_05325T0	 Hit=lcl|YCR057C	" Description=pep:known chromosome:SacCer_Apr2011:III:220457:223228:-1 gene:YCR057C transcript:YCR057C description:""Conserved 90S pre-ribosomal component essential for proper endonucleolytic cleavage of the 35 S rRNA precursor at A0, A1, and A2 sites\x3b contains eight WD-repeats\x3b PWP2 deletion leads to defects in cell cycle and bud morphogenesis""-species:Saccharomyces_cerevisiae"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|CADNFIAP00006619	" Description=pep:known contig:CADRE:9292:4077949:4080848:1 gene:CADNFIAG00006786 transcript:CADNFIAT00006786 description:""COPI vesicle coat beta' subunit, putative""-species:Neosartorya_fischeri"	 E_value=1e-07
			
Query=MGG_05325T0	 Hit=lcl|GGTG_09606T0	" Description=pep:known supercontig:Gae_graminis_V2:supercont1.5:1838547:1841193:-1 gene:GGTG_09606 transcript:GGTG_09606T0 description:""WD repeat containing protein 5""-species:Gaeumannomyces_graminis"	 E_value=1e-07
			
Query=MGG_05325T0	 Hit=lcl|EEB07082	" Description=pep:novel supercontig:GCA_000149845.2:supercont5.1:137070:139591:1 gene:SJAG_02162 transcript:EEB07082 description:""F-box/WD repeat protein Pop2""-species:Schizosaccharomyces_japonicus"	 E_value=1e-07
			
Query=MGG_05325T0	 Hit=lcl|EEB07082	" Description=pep:novel supercontig:GCA_000149845.2:supercont5.1:137070:139591:1 gene:SJAG_02162 transcript:EEB07082 description:""F-box/WD repeat protein Pop2""-species:Schizosaccharomyces_japonicus"	 E_value=1e-05
			
Query=MGG_05325T0	 Hit=lcl|MGG_06742T0	" Description=pep:known chromosome:MG8:1:2576969:2580818:1 gene:MGG_06742 transcript:MGG_06742T0 description:""Putative uncharacterized protein""-species:Magnaporthe_oryzae"	 E_value=1e-07
			
Query=MGG_05325T0	 Hit=lcl|EGR46090	" Description=pep:novel supercontig:GCA_000167675.2:GL985075:466537:470033:-1 gene:TRIREDRAFT_66966 transcript:EGR46090 description:""predicted protein""-species:Trichoderma_reesei"	 E_value=1e-07
			
Query=MGG_05325T0	 Hit=lcl|EHK27218	" Description=pep:novel supercontig:ASM17099v1:1:1499820:1501369:-1 gene:TRIVIDRAFT_34185 transcript:EHK27218 description:""hypothetical protein""-species:Trichoderma_virens"	 E_value=1e-07
			
Query=MGG_05325T0	 Hit=lcl|EHK27218	" Description=pep:novel supercontig:ASM17099v1:1:1499820:1501369:-1 gene:TRIVIDRAFT_34185 transcript:EHK27218 description:""hypothetical protein""-species:Trichoderma_virens"	 E_value=4e-07
			
Query=MGG_05325T0	 Hit=lcl|EDU50693	" Description=pep:novel supercontig:GCA_000149985.1:supercont1.8:757521:760457:-1 gene:PTRG_07774 transcript:EDU50693 description:""F-box/WD repeat containing protein pof1""-species:Pyrenophora_triticirepentis"	 E_value=1e-07
			
Query=MGG_05325T0	 Hit=lcl|CCU76108	" Description=pep:novel supercontig:EF1:HF943536:1477160:1479028:-1 gene:BGHDH14_bgh02409 transcript:CCU76108 description:""pre-mRNA cleavage and polyadenylation protein""-species:Blumeria_graminis"	 E_value=1e-07
			
Query=MGG_05325T0	 Hit=lcl|CBQ73984	" Description=pep:novel chromosome:GCA_000230245.1:9:531195:533075:-1 gene:sr11157 transcript:CBQ73984 description:""probable RSA4-WD-repeat protein involved in ribosome biogenesis""-species:Sporisorium_reilianum"	 E_value=1e-07
			
Query=MGG_05325T0	 Hit=lcl|GGTG_06769T0	" Description=pep:known supercontig:Gae_graminis_V2:supercont1.3:4883791:4886752:1 gene:GGTG_06769 transcript:GGTG_06769T0 description:""coatomer beta' subunit""-species:Gaeumannomyces_graminis"	 E_value=1e-07
			
Query=MGG_05325T0	 Hit=lcl|GGTG_06769T0	" Description=pep:known supercontig:Gae_graminis_V2:supercont1.3:4883791:4886752:1 gene:GGTG_06769 transcript:GGTG_06769T0 description:""coatomer beta' subunit""-species:Gaeumannomyces_graminis"	 E_value=7e-07
			
Query=MGG_05325T0	 Hit=lcl|MVLG_02943T0	" Description=pep:novel supercontig:GCA_000166175.1:supercont1.25:97498:99307:-1 gene:MVLG_02943 transcript:MVLG_02943T0 description:""hypothetical protein""-species:Microbotryum_violaceum"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|MVLG_02943T0	" Description=pep:novel supercontig:GCA_000166175.1:supercont1.25:97498:99307:-1 gene:MVLG_02943 transcript:MVLG_02943T0 description:""hypothetical protein""-species:Microbotryum_violaceum"	 E_value=5e-06
			
Query=MGG_05325T0	 Hit=lcl|MVLG_02943T0	" Description=pep:novel supercontig:GCA_000166175.1:supercont1.25:97498:99307:-1 gene:MVLG_02943 transcript:MVLG_02943T0 description:""hypothetical protein""-species:Microbotryum_violaceum"	 E_value=6e-06
			
Query=MGG_05325T0	 Hit=lcl|CADATEAP00007714	" Description=pep:known supercontig:CADRE:1.3:565323:568922:-1 gene:CADATEAG00007714 transcript:CADATEAT00007714 description:""Putative uncharacterized protein""-species:Aspergillus_terreus"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|AAS50422	" Description=pep:known chromosome:ASM9102v1:I:442797:445565:1 gene:AGOS_AAR057W transcript:AAS50422 description:""AAR057Wp""-species:Ashbya_gossypii"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|AAS50422	" Description=pep:known chromosome:ASM9102v1:I:442797:445565:1 gene:AGOS_AAR057W transcript:AAS50422 description:""AAR057Wp""-species:Ashbya_gossypii"	 E_value=3e-06
			
Query=MGG_05325T0	 Hit=lcl|EFQ95192	" Description=pep:novel supercontig:GCA_000166005.1:GL532890:5551:8305:-1 gene:PTT_06850 transcript:EFQ95192 description:""hypothetical protein""-species:Pyrenophora_teres"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|EFQ95192	" Description=pep:novel supercontig:GCA_000166005.1:GL532890:5551:8305:-1 gene:PTT_06850 transcript:EFQ95192 description:""hypothetical protein""-species:Pyrenophora_teres"	 E_value=3e-06
			
Query=MGG_05325T0	 Hit=lcl|EGY14091	" Description=pep:novel supercontig:GCA_000150675.1:supercont1.1:2552234:2555121:-1 gene:VDAG_00773 transcript:EGY14091 description:""coatomer subunit beta""-species:Verticillium_dahliae"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|EGY14091	" Description=pep:novel supercontig:GCA_000150675.1:supercont1.1:2552234:2555121:-1 gene:VDAG_00773 transcript:EGY14091 description:""coatomer subunit beta""-species:Verticillium_dahliae"	 E_value=8e-07
			
Query=MGG_05325T0	 Hit=lcl|MAPG_09730T0	" Description=pep:novel supercontig:Mag_poae_ATCC_64411_V1:supercont1.11:1146851:1150614:-1 gene:MAPG_09730 transcript:MAPG_09730T0 description:""coatomer beta' subunit""-species:Magnaporthe_poae"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|MAPG_09730T0	" Description=pep:novel supercontig:Mag_poae_ATCC_64411_V1:supercont1.11:1146851:1150614:-1 gene:MAPG_09730 transcript:MAPG_09730T0 description:""coatomer beta' subunit""-species:Magnaporthe_poae"	 E_value=8e-07
			
Query=MGG_05325T0	 Hit=lcl|SNOT_04633	" Description=pep:known supercontig:ASM14691v1:supercont1.6:1167746:1170674:1 gene:SNOG_04633 transcript:SNOT_04633 description:""Putative uncharacterized protein""-species:Phaeosphaeria_nodorum"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|SNOT_04633	" Description=pep:known supercontig:ASM14691v1:supercont1.6:1167746:1170674:1 gene:SNOG_04633 transcript:SNOT_04633 description:""Putative uncharacterized protein""-species:Phaeosphaeria_nodorum"	 E_value=2e-06
			
Query=MGG_05325T0	 Hit=lcl|EHK19658	" Description=pep:novel supercontig:ASM17099v1:83:826350:829542:1 gene:TRIVIDRAFT_213634 transcript:EHK19658 description:""hypothetical protein""-species:Trichoderma_virens"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|EHK19658	" Description=pep:novel supercontig:ASM17099v1:83:826350:829542:1 gene:TRIVIDRAFT_213634 transcript:EHK19658 description:""hypothetical protein""-species:Trichoderma_virens"	 E_value=1e-05
			
Query=MGG_05325T0	 Hit=lcl|FVEG_04454T0	" Description=pep:known chromosome:ASM14955v1:4:414185:417080:1 gene:FVEG_04454 transcript:FVEG_04454T0 description:""coatomer subunit beta'""-species:Gibberella_moniliformis"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|FVEG_04454T0	" Description=pep:known chromosome:ASM14955v1:4:414185:417080:1 gene:FVEG_04454 transcript:FVEG_04454T0 description:""coatomer subunit beta'""-species:Gibberella_moniliformis"	 E_value=2e-06
			
Query=MGG_05325T0	 Hit=lcl|YFL009W	" Description=pep:known chromosome:SacCer_Apr2011:VI:116145:118484:1 gene:YFL009W transcript:YFL009W description:""F-box protein required for G1/S and G2/M transition, associates with Skp1p and Cdc53p to form a complex, SCFCdc4, which acts as ubiquitin-protein ligase directing ubiquitination of the phosphorylated CDK inhibitor Sic1p""-species:Saccharomyces_cerevisiae"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|B0510_9815T1	" Description=pep:novel supercontig:B05.10_v2:Supercontig_1.48:20520:23511:-1 gene:B0510_9815 transcript:B0510_9815T1 description:""""-species:Botryotinia_fuckeliana"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|B0510_9815T1	" Description=pep:novel supercontig:B05.10_v2:Supercontig_1.48:20520:23511:-1 gene:B0510_9815 transcript:B0510_9815T1 description:""""-species:Botryotinia_fuckeliana"	 E_value=8e-06
			
Query=MGG_05325T0	 Hit=lcl|B0510_9815T1	" Description=pep:novel supercontig:B05.10_v2:Supercontig_1.48:20520:23511:-1 gene:B0510_9815 transcript:B0510_9815T1 description:""""-species:Botryotinia_fuckeliana"	 E_value=1e-05
			
Query=MGG_05325T0	 Hit=lcl|EEB09776	" Description=pep:novel supercontig:GCA_000149845.2:supercont5.2:2052779:2054209:-1 gene:SJAG_05000 transcript:EEB09776 description:""RACK1 Cpc2""-species:Schizosaccharomyces_japonicus"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|YDR267C	" Description=pep:known chromosome:SacCer_Apr2011:IV:1002510:1003502:-1 gene:YDR267C transcript:YDR267C description:""WD40 repeat protein involved in assembly of cytosolic and nuclear iron-sulfur proteins\x3b similar to the human Ciao1 protein\x3b YDR267C is an essential gene""-species:Saccharomyces_cerevisiae"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|CADATEAP00002665	" Description=pep:known supercontig:CADRE:1.2:1477426:1480347:-1 gene:CADATEAG00002665 transcript:CADATEAT00002665 description:""Coatomer beta' subunit""-species:Aspergillus_terreus"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|CADAFUBP00006666	" Description=pep:known scaffold:CADRE:DS499598:1558283:1561016:-1 gene:CADAFUBG00006794 transcript:CADAFUBT00006794 description:""F-box and WD domain protein""-species:Aspergillus_fumigatus"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|FGSG_13472P0	" Description=pep:known chromosome:ASM24013v2:2:3260850:3261878:-1 gene:FGSG_13472 transcript:FGSG_13472T0 description:""conserved hypothetical protein""-species:Gibberella_zeae"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|FGSG_13472P0	" Description=pep:known chromosome:ASM24013v2:2:3260850:3261878:-1 gene:FGSG_13472 transcript:FGSG_13472T0 description:""conserved hypothetical protein""-species:Gibberella_zeae"	 E_value=3e-06
			
Query=MGG_05325T0	 Hit=lcl|EDN93387	" Description=pep:novel supercontig:ASM14694v1:CH476633:310883:313315:-1 gene:SS1G_09253 transcript:EDN93387 description:""hypothetical protein""-species:Sclerotinia_sclerotiorum"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|B0510_5454T1	" Description=pep:novel supercontig:B05.10_v2:Supercontig_1.15:151692:154124:1 gene:B0510_5454 transcript:B0510_5454T1 description:""""-species:Botryotinia_fuckeliana"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|CADATEAP00001579	" Description=pep:known supercontig:CADRE:1.14:817616:819229:1 gene:CADATEAG00001579 transcript:CADATEAT00001579 description:""Chromatin assembly factor 1 subunit C""-species:Aspergillus_terreus"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|CADATEAP00001579	" Description=pep:known supercontig:CADRE:1.14:817616:819229:1 gene:CADATEAG00001579 transcript:CADATEAT00001579 description:""Chromatin assembly factor 1 subunit C""-species:Aspergillus_terreus"	 E_value=2e-06
			
Query=MGG_05325T0	 Hit=lcl|GGTG_09252T0	" Description=pep:known supercontig:Gae_graminis_V2:supercont1.5:772867:777204:1 gene:GGTG_09252 transcript:GGTG_09252T0 description:""WD repeat-containing protein""-species:Gaeumannomyces_graminis"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|GGTG_09252T0	" Description=pep:known supercontig:Gae_graminis_V2:supercont1.5:772867:777204:1 gene:GGTG_09252 transcript:GGTG_09252T0 description:""WD repeat-containing protein""-species:Gaeumannomyces_graminis"	 E_value=9e-06
			
Query=MGG_05325T0	 Hit=lcl|B0510_5234T1	" Description=pep:novel supercontig:B05.10_v2:Supercontig_1.14:240320:241515:-1 gene:B0510_5234 transcript:B0510_5234T1 description:""""-species:Botryotinia_fuckeliana"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|AAS51317	" Description=pep:known chromosome:ASM9102v1:III:520608:521594:1 gene:AGOS_ACR091W transcript:AAS51317 description:""Probable cytosolic iron-sulfur protein assembly protein 1""-species:Ashbya_gossypii"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|MGG_01074T0	" Description=pep:known chromosome:MG8:5:596738:602287:-1 gene:MGG_01074 transcript:MGG_01074T0 description:""WD repeat-containing protein 5B""-species:Magnaporthe_oryzae"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|FGSG_01292P0	" Description=pep:known chromosome:ASM24013v2:1:4258610:4259851:1 gene:FGSG_01292 transcript:FGSG_01292T0 description:""conserved hypothetical protein""-species:Gibberella_zeae"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|EFQ95644	" Description=pep:novel supercontig:GCA_000166005.1:GL532620:1246:2723:1 gene:PTT_05673 transcript:EFQ95644 description:""hypothetical protein""-species:Pyrenophora_teres"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|EFQ95644	" Description=pep:novel supercontig:GCA_000166005.1:GL532620:1246:2723:1 gene:PTT_05673 transcript:EFQ95644 description:""hypothetical protein""-species:Pyrenophora_teres"	 E_value=7e-06
			
Query=MGG_05325T0	 Hit=lcl|EFQ95644	" Description=pep:novel supercontig:GCA_000166005.1:GL532620:1246:2723:1 gene:PTT_05673 transcript:EFQ95644 description:""hypothetical protein""-species:Pyrenophora_teres"	 E_value=1e-05
			
Query=MGG_05325T0	 Hit=lcl|EFQ90375	" Description=pep:novel supercontig:GCA_000166005.1:GL535240:3371:6392:1 gene:PTT_13046 transcript:EFQ90375 description:""hypothetical protein""-species:Pyrenophora_teres"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|EFQ90375	" Description=pep:novel supercontig:GCA_000166005.1:GL535240:3371:6392:1 gene:PTT_13046 transcript:EFQ90375 description:""hypothetical protein""-species:Pyrenophora_teres"	 E_value=9e-06
			
Query=MGG_05325T0	 Hit=lcl|CADANGAP00002043	" Description=pep:known chromosome:CADRE:IV:4638404:4641252:1 gene:CADANGAG00002103 transcript:CADANGAT00002103 description:""Function\x3a coatomer beta' subunit copB2""-species:Aspergillus_niger"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|EPY49645	" Description=pep:novel supercontig:GCA_000004155.2:supercont4.8:463242:464980:-1 gene:SPOG_01526 transcript:EPY49645 description:""U4/U6 X U5 tri-snRNP complex subunit Prp4 family protein""-species:Schizosaccharomyces_cryophilus"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|FGSG_05844P0	" Description=pep:known chromosome:ASM24013v2:3:3538995:3541921:-1 gene:FGSG_05844 transcript:FGSG_05844T0 description:""coatomer subunit beta""-species:Gibberella_zeae"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|FGSG_05844P0	" Description=pep:known chromosome:ASM24013v2:3:3538995:3541921:-1 gene:FGSG_05844 transcript:FGSG_05844T0 description:""coatomer subunit beta""-species:Gibberella_zeae"	 E_value=3e-06
			
Query=MGG_05325T0	 Hit=lcl|EFQ33001	" Description=pep:novel supercontig:GCA_000149035.1:GG697366:349535:352941:-1 gene:GLRG_08145 transcript:EFQ33001 description:""WD domain-containing protein""-species:Glomerella_graminicola"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|CBQ68398	" Description=pep:novel chromosome:GCA_000230245.1:10:383307:386099:1 gene:sr14671 transcript:CBQ68398 description:""related to STRIATIN""-species:Sporisorium_reilianum"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|EDN91566	" Description=pep:novel supercontig:ASM14694v1:CH476621:2497523:2498764:-1 gene:SS1G_00969 transcript:EDN91566 description:""hypothetical protein""-species:Sclerotinia_sclerotiorum"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|EDN91566	" Description=pep:novel supercontig:ASM14694v1:CH476621:2497523:2498764:-1 gene:SS1G_00969 transcript:EDN91566 description:""hypothetical protein""-species:Sclerotinia_sclerotiorum"	 E_value=5e-06
			
Query=MGG_05325T0	 Hit=lcl|EGR44799	" Description=pep:novel supercontig:GCA_000167675.2:GL985084:217627:220768:1 gene:TRIREDRAFT_123974 transcript:EGR44799 description:""vesicle coatamer complex, beta subunit""-species:Trichoderma_reesei"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|CCU74801	" Description=pep:novel supercontig:EF1:HF943549:3613437:3617160:1 gene:BGHDH14_bgh05727 transcript:CCU74801 description:""WD repeat protein""-species:Blumeria_graminis"	 E_value=2e-07
			
Query=MGG_05325T0	 Hit=lcl|EGF98333	" Description=pep:novel supercontig:GCA_000204055.1:GL883178:174934:178118:1 gene:MELLADRAFT_51043 transcript:EGF98333 description:""hypothetical protein""-species:Melampsora_laricipopulina"	 E_value=3e-07
			
Query=MGG_05325T0	 Hit=lcl|CADAFUBP00001840	" Description=pep:known scaffold:CADRE:DS499595:432808:434436:-1 gene:CADAFUBG00001879 transcript:CADAFUBT00001879 description:""Small nucleolar ribonucleoprotein complex subunit Utp15, putative""-species:Aspergillus_fumigatus"	 E_value=3e-07
			
Query=MGG_05325T0	 Hit=lcl|UM05949P0	" Description=pep:known supercontig:UM1:Cont_1.221:12662:14485:1 gene:UM05949 transcript:UM05949T0 description:""hypothetical protein""-species:Ustilago_maydis"	 E_value=3e-07
			
Query=MGG_05325T0	 Hit=lcl|AAS51838	" Description=pep:known chromosome:ASM9102v1:IV:539371:541077:-1 gene:AGOS_ADL082C transcript:AAS51838 description:""ADL082Cp""-species:Ashbya_gossypii"	 E_value=3e-07
			
Query=MGG_05325T0	 Hit=lcl|CADAFLAP00010651	" Description=pep:known supercontig:JCVI-afl1-v2.0:EQ963482:1588781:1590378:1 gene:CADAFLAG00010651 transcript:CADAFLAT00010651 description:""Chromatin assembly factor 1 subunit C, putative ""-species:Aspergillus_flavus"	 E_value=3e-07
			
Query=MGG_05325T0	 Hit=lcl|CADAFLAP00010651	" Description=pep:known supercontig:JCVI-afl1-v2.0:EQ963482:1588781:1590378:1 gene:CADAFLAG00010651 transcript:CADAFLAT00010651 description:""Chromatin assembly factor 1 subunit C, putative ""-species:Aspergillus_flavus"	 E_value=1e-06
			
Query=MGG_05325T0	 Hit=lcl|EEB05496	" Description=pep:novel supercontig:GCA_000149845.2:supercont5.1:3207663:3209449:1 gene:SJAG_00511 transcript:EEB05496 description:""nuclear distribution protein nudF""-species:Schizosaccharomyces_japonicus"	 E_value=3e-07
			
Query=MGG_05325T0	 Hit=lcl|CADAFLAP00001543	" Description=pep:known supercontig:JCVI-afl1-v2.0:EQ963472:4141360:4143855:-1 gene:CADAFLAG00001543 transcript:CADAFLAT00001543 description:""Chromatin assembly factor 1 subunit B, putative ""-species:Aspergillus_flavus"	 E_value=3e-07
			
Query=MGG_05325T0	 Hit=lcl|EPX70722	" Description=pep:novel supercontig:GCA_000150505.2:supercont6.3:706184:707734:1 gene:SOCG_04234 transcript:EPX70722 description:""RACK1 Cpc2""-species:Schizosaccharomyces_octosporus"	 E_value=3e-07
			
Query=MGG_05325T0	 Hit=lcl|EPY51883	" Description=pep:novel supercontig:GCA_000004155.2:supercont4.3:666158:668128:1 gene:SPOG_00305 transcript:EPY51883 description:""RACK1 Cpc2""-species:Schizosaccharomyces_cryophilus"	 E_value=3e-07
			
Query=MGG_05325T0	 Hit=lcl|AAS54466	" Description=pep:known chromosome:ASM9102v1:VII:984688:986958:1 gene:AGOS_AGL024W transcript:AAS54466 description:""AGL024Wp""-species:Ashbya_gossypii"	 E_value=3e-07
			
Query=MGG_05325T0	 Hit=lcl|EHK15354	" Description=pep:novel supercontig:ASM17099v1:92:402519:404511:-1 gene:TRIVIDRAFT_56502 transcript:EHK15354 description:""hypothetical protein""-species:Trichoderma_virens"	 E_value=3e-07
			
Query=MGG_05325T0	 Hit=lcl|EHK15354	" Description=pep:novel supercontig:ASM17099v1:92:402519:404511:-1 gene:TRIVIDRAFT_56502 transcript:EHK15354 description:""hypothetical protein""-species:Trichoderma_virens"	 E_value=7e-07
			
Query=MGG_05325T0	 Hit=lcl|EHK15354	" Description=pep:novel supercontig:ASM17099v1:92:402519:404511:-1 gene:TRIVIDRAFT_56502 transcript:EHK15354 description:""hypothetical protein""-species:Trichoderma_virens"	 E_value=7e-06
			
Query=MGG_05325T0	 Hit=lcl|CAG81514	" Description=pep:novel chromosome:GCA_000002525.1:D:3495011:3496369:1 gene:YALI0_D26279g transcript:CAG81514 description:""YALI0D26279p""-species:Yarrowia_lipolytica"	 E_value=3e-07
			
Query=MGG_05325T0	 Hit=lcl|FVEG_12039T0	" Description=pep:known chromosome:ASM14955v1:4:2949278:2953428:1 gene:FVEG_12039 transcript:FVEG_12039T0 description:""hypothetical protein similar to cell division control protein Cdc4""-species:Gibberella_moniliformis"	 E_value=3e-07
			
Query=MGG_05325T0	 Hit=lcl|FVEG_12039T0	" Description=pep:known chromosome:ASM14955v1:4:2949278:2953428:1 gene:FVEG_12039 transcript:FVEG_12039T0 description:""hypothetical protein similar to cell division control protein Cdc4""-species:Gibberella_moniliformis"	 E_value=2e-06
			
Query=MGG_05325T0	 Hit=lcl|EFQ89273	" Description=pep:novel supercontig:GCA_000166005.1:GL535856:8191:12616:1 gene:PTT_14527 transcript:EFQ89273 description:""hypothetical protein""-species:Pyrenophora_teres"	 E_value=3e-07
			
Query=MGG_05325T0	 Hit=lcl|EDN91075	" Description=pep:novel supercontig:ASM14694v1:CH476621:1233546:1236006:-1 gene:SS1G_00477 transcript:EDN91075 description:""hypothetical protein""-species:Sclerotinia_sclerotiorum"	 E_value=3e-07
			
Query=MGG_05325T0	 Hit=lcl|Mycgr3P109501	" Description=pep:known chromosome:MG2:5:1284839:1287774:-1 gene:Mycgr3G109501 transcript:Mycgr3T109501 description:""Putative uncharacterized protein""-species:Zymoseptoria_tritici"	 E_value=3e-07
			
Query=MGG_05325T0	 Hit=lcl|Mycgr3P109501	" Description=pep:known chromosome:MG2:5:1284839:1287774:-1 gene:Mycgr3G109501 transcript:Mycgr3T109501 description:""Putative uncharacterized protein""-species:Zymoseptoria_tritici"	 E_value=9e-07
			
Query=MGG_05325T0	 Hit=lcl|Mycgr3P109501	" Description=pep:known chromosome:MG2:5:1284839:1287774:-1 gene:Mycgr3G109501 transcript:Mycgr3T109501 description:""Putative uncharacterized protein""-species:Zymoseptoria_tritici"	 E_value=7e-06
			
Query=MGG_05325T0	 Hit=lcl|GGTG_10846T0	" Description=pep:known supercontig:Gae_graminis_V2:supercont1.6:1367435:1371548:1 gene:GGTG_10846 transcript:GGTG_10846T0 description:""hypothetical protein""-species:Gaeumannomyces_graminis"	 E_value=3e-07
			
